"Calculator+ HD",False,"utils-tools",emulation,"Compatible","5.2.11.0",https://apps.microsoft.com/detail/9wzdncrfj9sb,,
"Calculator X8",False,"utils-tools",emulation,"Compatible","1.8.0.11",https://www.microsoft.com/store/productId/9WZDNCRFJ305?ocid=pdpshare,,
"calibre",False,"entertainment",emulation,"Compatible","7.1.0",https://calibre-ebook.com/download_windows,,
"Reincubate Camo Studio",False,"dev-tools",native,"Compatible","2.1.80.0",https://apps.microsoft.com/detail/9pgm3qb3pdrd,ReincubateCamo.svg,
"Canon Office Printer Utility",False,"printers",emulation,"Compatible","12.7.0.0",https://apps.microsoft.com/detail/9wzdncrfj14l,,
"Canva",False,"multimedia",emulation,"Compatible","1.82.0",https://apps.microsoft.com/detail/xp8k17rnmm8mtn,,
"CapCut",False,"video",native,"Compatible","4.0.1",https://apps.microsoft.com/detail/xp9kn75rrb9nhs,CapCut.png,
"Captivate",False,"photo",emulation,"Compatible","12.2.0",https://www.adobe.com/products/captivate.html,,
"CaptureOne",False,"photo",emulation,"Compatible","16.3.6.1949",https://apps.microsoft.com/detail/xpdc1mtsbzz97k?hl=en-in&gl=IN,,
"Carbonite Online Backup",False,"utils-tools",emulation,"Compatible","6.4.6",https://www.carbonite.com/professional/backup/,,
"Carbonite Safe",False,"healthcare",emulation,"Compatible","6.4.6(Build 27)",https://www.carbonite.com/install/download/,,
"Cascadeur",False,"utils-tools",emulation,"Compatible","2023.2.1",https://apps.microsoft.com/detail/xpfmg5vk7fjpxl,,
"CA Secure Browser",False,"communication",emulation,"Compatible","V16",https://ca.portal.cambiumast.com/,,
"Ccleaner",False,"utils-tools",emulation,"Compatible","6.21.10918(64-bit)",https://apps.microsoft.com/detail/xpfcwp0sqwxm3v,,
"CDex",False,"nav",emulation,"Compatible","2.24.0.2020",https://cdex.mu/download,,
"Celestia",False,"emulators",emulation,"Compatible","2.0.50.0",https://apps.microsoft.com/detail/9pf9phrtkw3q?query=celestia&hl=en-in&gl=IN,,
"Chrome Remote Desktop",False,"prod",native,"Compatible","nan",https://chromewebstore.google.com/detail/chrome-remote-desktop/inomeogfingihgjfjlpeplalcfajhgai,,
"Chrome Remote Desktop Host",False,"prod",native,"Compatible","nan",https://remotedesktop.google.com/access,,
"Chromium",False,"dev-tools",emulation,"Compatible","118.0.5952.0",https://www.chromium.org/getting-involved/download-chromium/,,
"Cinema 4D",False,"creative",no,"Unsupported",,https://www.maxon.net/en/try,,
"Cisco AnyConnect VPN",False,"vpn",emulation,"Compatible","5.0.00907",https://apps.microsoft.com/detail/9wzdncrdj8lh,CiscoAnyConnectVPN.jpg,
"Cisco Packet Tracer",False,"utils-tools",emulation,"Compatible","8.2.2.0400",https://skillsforall.com/resources/lab-downloads?courseLang=en-US,,
"Cisco WebEx",False,"collboration",emulation,"Compatible","43.8.0.26955",https://apps.microsoft.com/detail/xpdlzv7r88ff1p,,
"ClaroRead Windows",False,"accessibility",emulation,"Compatible","12.0.29.29",https://www.texthelp.com/en-gb/products/claroread/,,
"Clash for Windows",False,"dev-tools",native,"Compatible","0.20.39",https://www.clash.la/archives/748/,,
"ClassIn",False,"education",emulation,"Compatible","5.2.1.24",https://www.classin.com/,,
"classoos",False,"education",emulation,"Compatible","2.5.2.0",https://apps.microsoft.com/detail/9p3s8w4049tq?hl=en-in&gl=IN,,
"Clean Master",False,"utils-tools",emulation,"Compatible","6.6",https://www.cleanmasterofficial.com/en-us/,,
"Clipchamp",False,"video",emulation,"Compatible","2.8.3.0",https://windows.apkpure.com/clipchamp/download,,
"Clip Studio Paint",False,"creative",emulation,"Compatible","2.3.4",https://apps.microsoft.com/detail/xpdp32qddfl4pk,,
"Cloud9 IDE",False,"dev-tools",native,"Compatible","nan",https://aws.amazon.com/cloud9/,,
"Cloudflare WARP",False,"prod",emulation,"Compatible","24.3.409.0",https://one.one.one.one/,,
"Clownfish Voice Changer",False,"audio",emulation,"Compatible","v1.81",https://clownfish-translator.com/voicechanger/download.html,,
"CMAKE",False,"oss ,  dev-tools",native,"Compatible","3.24",https://cmake.org/download/,cmake.svg,
"Cobian Reflector",False,"utils-tools",emulation,"Compatible","2.6.55",https://www.cobiansoft.com/,,
"CodeBlocks",False,"dev-tools",emulation,"Compatible","20.03",https://www.codeblocks.org/downloads/,,
"CodeMeter Runtime Kit",False,"security",emulation,"Compatible","8.1",https://www.wibu.com/support/user/user-software.html,,
"Code Writer",False,"utils-tools",emulation,"Compatible","4.2.42.0",https://apps.microsoft.com/detail/9wzdncrfhzdt,,
"Color Cop",False,"utils-tools",emulation,"Compatible","2.4.0.0",https://apps.microsoft.com/store/detail/colorpop/9WZDNCRFJB2J,,
"Coloring Book: Drawing For Adults And Kids",False,"prod",native,"Compatible","1.6.27.0",https://apps.microsoft.com/detail/9nvx1mm0gblq,,
"Complete Anatomy",False,"medical",emulation,"Compatible","10.1.1",https://apps.microsoft.com/detail/9nblggh40f2t,,
"Concepts",False,"creative",native,"Compatible","2023.5.4",https://apps.microsoft.com/detail/9ngqm8fph9wq,TopHatchConcepts.png,
"Cool Edit Pro",False,"photo",emulation,"Compatible","2.1",https://autofirma.net/descargar,,
"Cool File Viewer: Rar, Word, PDF, PPT, Video & Image Opener",False,"prod",emulation,"Compatible","5.1.7",https://apps.microsoft.com/detail/9n29tp7zmkv3,,
"Corel AfterShot HDR",False,"creative",emulation,"Compatible","3.7.0.457",https://www.aftershotpro.com/en/,,
"Corel Designer",False,"creative",emulation,"Compatible","24.5.0.731",https://www.coreldraw.com/en/product/technical-suite/,,
"CorelDraw",False,"creative",emulation,"Compatible","23.0.0.363",https://www.coreldraw.com/en/product/coreldraw/standard/,,
"CorelDRAW Graphics Suite",False,"photo",emulation,"Compatible","25.0.0.230",https://www.coreldraw.com/en/free-trials/,,
"Corel Painter",False,"photo",emulation,"Compatible","23.0.0.244",https://apps.microsoft.com/detail/xp9b0hmwqqpk3w,,
"Corel Paintshop Pro",False,"creative",emulation,"Compatible","25.2",https://www.paintshoppro.com/en/pages/free-download/,,
"Corel VideoStudio",False,"creative",emulation,"Compatible","26.0.0.213",https://apps.microsoft.com/detail/xpdfp84tbbzzgr,,
"Corel WordPerfect Office ",False,"business",emulation,"Compatible","21.0.0.81",https://www.wordperfect.com/en/product/office-suite/,,
"CORNPlayer",False,"entertainment",emulation,"Compatible","1.0.3.62",http://www.avast.com/installation-files,,
"CPU-Z",False,"utils-tools",native,"Vendor Announced - Launching Soon","2.08.0",https://www.cpuid.com/softwares/cpu-z.html,,
"Cricut Design Space",False,"creativity",emulation,"Compatible","V8.21.54",https://design.cricut.com/,,
"CrowdStrike Falcon Device Control",False,"security",native,"Compatible","6.44",https://www.crowdstrike.com/products/endpoint-security/falcon-device-control/,CrowdStrikeFalconDeviceControl.png,
"Crunchyroll",False,"entertainment",emulation,"Compatible","1.3.1.0",https://apps.microsoft.com/detail/9wzdncrfj15t,,
"CRYPT DECRYPT AES",False,"security",native,"Compatible","1.2.1",https://apps.microsoft.com/detail/9p6jmmcwm2bb,,
"CrystalDiskInfo",False,"benchmarking",native,"Compatible","9.2.3",https://apps.microsoft.com/detail/xp8k4rgx25g3gm?hl=en-in&gl=IN,,
"CubePDF",False,"prod",emulation,"Compatible","3.4.0",https://www.cube-soft.jp/cubepdf/,,
"CutePDF Professional",False,"utils-tools",emulation,"Compatible","4.0.1.6",https://www.cutepdf.com/products/cutepdf/pro.asp,,
"Cyberlink ColorDirector",False,"creative",emulation,"Compatible","12.0.3416.0",https://download.cnet.com/CyberLink-ColorDirector/3001-13631_4-75764601.html,,
"CyberLink PhotoDirector",False,"creative",emulation,"Compatible","15.0.1004.0",https://fr.cyberlink.com/products/photodirector-photo-editing-software-365/features_fr_FR.html,CyberLinkPhotoDirector.png,
"CyberLink Power2Go",False,"creative",emulation,"Compatible","13.0.5318.0",https://www.cyberlink.com/products/power2go-platinum/features_en_US.html,,
"CyberLink PowerDirector",False,"creative",emulation,"Compatible","22.0.2126.0",https://www.cyberlink.com/downloads/trials/powerdirector-video-editing-software/download_en_US.html,CyberLinkPowerDirector.png,
"CyberLink PowerDVD",False,"entertainment",emulation,"Compatible","22.0.3214.62",https://www.cyberlink.com/downloads/trials/powerdvd-ultra/download_en_US.html,,
"CyberLink YouCam",False,"photo",emulation,"Compatible","10.1.2717.0",https://www.cyberlink.com/products/youcam/features_en_US.html?r=1,,
"Cygwin",False,"dev-tools",emulation,"Compatible","3.4.7",https://www.cygwin.com/,,
"DAEMON Tools",False,"it",native,"Compatible","12.0.0.21000",https://www.techspot.com/downloads/downloadnow/4819/?evp=1e914f05ca7c59fe3dcdfcc2e9bb0e34&file=5070,,
"DameWare (Mini Remote Control App)",False,"it",emulation,"Compatible","12.3.0.2",https://www.dameware.com/downloads,,
"Dansk TV Guide",False,"utils-tools",emulation,"Compatible","V6.2.123.0",https://apps.microsoft.com/detail/9wzdncrfjlt5,,
"DART",False,"dev-tools",emulation,"Compatible","3.0.7",https://dart.dev/get-dart/archive,,
